Sample ID,Race ID,Box Number,Row,Column
S00037480,021014_T48,1,1,1
S00037479,021014_T24,1,1,2
S00037478,021014_T0,1,1,3
S00037085,021003_T48,1,1,4
S00037084,021003_T24,1,1,5
S00037083,021003_T0,1,1,6
S00037355,020014_T48,1,1,7
S00037354,020014_T24,1,1,8
S00037353,020014_T0,1,1,9
S00037426,010061_T48,1,2,1
S00037425,010061_T24,1,2,2
S00037424,010061_T0,1,2,3
S00037059,010029_T24,1,2,4
S00037058,010029_T0,1,2,5
S00037499,090010_T24,1,2,6
S00037498,090010_T0,1,2,7
S00037054,050008_T48,1,2,8
S00037053,050008_T24,1,2,9
S00037052,050008_T0,1,3,1
S00037256,030003_T48,1,3,2
S00037255,030003_T24,1,3,3
S00037075,020007_T48,1,3,4
S00037074,020007_T24,1,3,5
S00037073,020007_T0,1,3,6
S00037292,110018_T0,1,3,7
S00037371,010057_T0,1,3,8
S00037372,010057_T24,1,3,9
S00037373,010057_T48,1,4,1
S00037539,010072_T24,1,4,2
S00037540,010072_T48,1,4,3
S00037431,020019_T0,1,4,4
S00037432,020019_T24,1,4,5
S00037433,020019_T48,1,4,6
S00037404,021011_T0,1,4,7
S00037405,021011_T24,1,4,8
S00037406,021011_T48,1,4,9
S00037151,022001_T0,1,5,1
S00037152,022001_T24,1,5,2
S00037153,022001_T48,1,5,3
S00037374,040002_T0,1,5,4
S00037375,040002_T24,1,5,5
S00037038,110003_T0,1,5,6
S00037039,110003_T24,1,5,7
S00037040,110003_T48,1,5,8
S00037532,020062_T0,1,5,9
S00037246,022005_T0,1,6,1
S00037247,022005_T24,1,6,2
S00037248,022005_T48,1,6,3
S00037272,080010_T0,1,6,4
S00037273,080010_T24,1,6,5
S00037274,080010_T48,1,6,6
S00037208,110014_T0,1,6,7
S00037014,020006_T0,1,6,8
S00037015,020006_T24,1,6,9
S00037016,020006_T48,1,7,1
S00037192,022002_T0,1,7,2
S00037193,022002_T24,1,7,3
S00037194,022002_T48,1,7,4
S00037434,070011_T0,1,7,5
S00037435,070011_T24,1,7,6
S00037436,070011_T48,1,7,7
S00037368,080012_T0,1,7,8
S00037369,080012_T24,1,7,9
S00037370,080012_T48,1,8,1
S00037270,091001_T0,1,8,2
S00037271,091001_T48,1,8,3
S00037033,010024_T0,1,8,4
S00037034,010024_T24,1,8,5
S00037154,110010_T0,1,8,6
S00037155,110010_T24,1,8,7
S00037156,110010_T48,1,8,8
S00037492,010068_T0,1,8,9
S00037493,010068_T24,1,9,1
S00037494,010068_T48,1,9,2
S00037171,032002_T0,1,9,3
S00037465,050027_T24,1,9,4
S00037466,050027_T48,1,9,5
S00037464,050027_T0,1,9,6
S00037032,010023_T0,1,9,7
S00037443,110023_T0,1,9,8
S00037444,110023_T24,1,9,9
S00037445,110023_T48,2,1,1
S00037213,010044_T0,2,1,2
S00037214,010044_T24,2,1,3
S00037215,010044_T48,2,1,4
S00037541,010073_T0,2,1,5
S00037542,010073_T24,2,1,6
S00037365,020015_T0,2,1,7
S00037366,020015_T24,2,1,8
S00037367,020015_T48,2,1,9
S00037283,050019_T0,2,2,1
S00037284,050019_T24,2,2,2
S00037285,050019_T48,2,2,3
S00037299,090005_T0,2,2,4
S00037300,090005_T24,2,2,5
S00037301,090005_T48,2,2,6
S00037252,110015_T0,2,2,7
S00037253,110015_T24,2,2,8
S00037254,110015_T48,2,2,9
S00037237,010046_T0,2,3,1
S00037238,010046_T24,2,3,2
S00037239,010046_T48,2,3,3
S00037135,110009_T0,2,3,4
S00037136,110009_T24,2,3,5
S00037137,110009_T48,2,3,6
S00037529,110027_T0,2,3,7
S00037530,110027_T24,2,3,8
S00037531,110027_T48,2,3,9
S00037076,010031_T0,2,4,1
S00037077,010031_T24,2,4,2
S00037078,010031_T48,2,4,3
S00037286,010051_T0,2,4,4
S00037287,010051_T24,2,4,5
S00037288,010051_T48,2,4,6
S00037249,050016_T0,2,4,7
S00037250,050016_T24,2,4,8
S00037251,050016_T48,2,4,9
S00037336,050022_T0,2,5,1
S00037337,050022_T24,2,5,2
S00037338,050022_T48,2,5,3
S00037262,070002_T0,2,5,4
S00037263,070002_T24,2,5,5
S00037264,070002_T48,2,5,6
S00037446,091006_T0,2,5,7
S00037447,091006_T24,2,5,8
S00037448,091006_T48,2,5,9
S00037414,100005_T0,2,6,1
S00037415,100005_T24,2,6,2
S00037416,100005_T48,2,6,3
S00037086,110004_T0,2,6,4
S00037087,110004_T24,2,6,5
S00037088,110004_T48,2,6,6
S00037388,010060_T0,2,6,7
S00037389,010060_T24,2,6,8
S00037390,010060_T48,2,6,9
S00037509,010070_T0,2,7,1
S00037510,010070_T24,2,7,2
S00037511,010070_T48,2,7,3
S00037160,023001_T0,2,7,4
S00037161,023001_T24,2,7,5
S00037162,023001_T48,2,7,6
S00037481,020021_T0,2,7,7
S00037482,020021_T24,2,7,8
S00037048,031004_T0,2,7,9
S00037128,010036_T0,2,8,1
S00037129,010036_T24,2,8,2
S00037130,010036_T48,2,8,3
S00037512,023005_T0,2,8,4
S00037513,023005_T24,2,8,5
S00037514,023005_T48,2,8,6
S00037342,070006_T0,2,8,7
S00037343,070006_T24,2,8,8
S00037344,070006_T48,2,8,9
S00037452,091007_T0,2,9,1
S00037453,091007_T24,2,9,2
S00037454,091007_T48,2,9,3
S00037267,010049_T0,2,9,4
S00037268,010049_T24,2,9,5
S00037269,010049_T48,2,9,6
S00037328,010055_T0,2,9,7
S00037329,010055_T24,2,9,8
S00037330,010055_T48,2,9,9
S00037487,020022_T0,3,1,1
S00037204,080007_T0,3,1,2
S00037296,110019_T0,3,1,3
S00037297,110019_T24,3,1,4
S00037298,110019_T48,3,1,5
S00024632,050002_T0,3,1,6
S00024633,050002_T24,3,1,7
S00024634,050002_T48,3,1,8
S00024648,010006_T0,3,1,9
S00024649,010006_T24,3,2,2
S00024650,010006_T48,3,2,2
S00024667,010009_T0,3,2,2
S00024668,010009_T24,3,2,2
S00024669,010009_T48,3,2,2
S00024673,010010_T0,3,2,2
S00024674,010010_T24,3,2,2
S00024675,010010_T48,3,2,2
S00024693,010013_T0,3,2,2
S00024694,010013_T24,3,3,3
S00024695,010013_T48,3,3,3
S00024699,010015_T0,3,3,3
S00024700,010015_T24,3,3,3
S00024701,010015_T48,3,3,3
S00024723,010018_T0,3,3,3
S00024724,010018_T24,3,3,3
S00024725,010018_T48,3,3,3
S00024741,031003_T0,3,3,3
S00024742,031003_T24,3,4,4
S00024743,031003_T48,3,4,4
